username,comment_id,post_url,comment_text
cristoferchel77,18036353210429553,https://www.instagram.com/p/DM8K2sExnY2/,Lamine cammal
alejandroguzman_.09,18109446562475345,https://www.instagram.com/p/DM8K2sExnY2/,El mío no es muy común 😢 es “taje” 🥺😓
edificiosmayas,18070545079881091,https://www.instagram.com/p/DM8K2sExnY2/,@alejandroguzman_.09 taje??? Eres de Yucatán? Nunca lo había escuchado!
marcelo_ongayc,18005710925623939,https://www.instagram.com/p/DM8K2sExnY2/,@jpchanbolio
soy_javier63,17988940385834033,https://www.instagram.com/p/DM8K2sExnY2/,Yo tengo un abuelo que se llama Cauich ku jajsjakaj
alejandromanzanilla00,18057306074364861,https://www.instagram.com/p/DM8K2sExnY2/,Yo estaba esperando Ek
jiwon_2431,18071860123841455,https://www.instagram.com/p/DM8K2sExnY2/,Yo soy Canché Cox :3❤️
ppabloum83,17931119892087958,https://www.instagram.com/p/DM8K2sExnY2/,"El mío es Uuh, ni idea de que significa porque Uh es Luna pero Uuh, no tengo conocimiento."
arxlcy,18062723858248441,https://www.instagram.com/p/DM8K2sExnY2/,Y si mi apellido es Cetina?? JAJAJA
sophieyerena,18112730563518388,https://www.instagram.com/p/DM8K2sExnY2/,@arxl
pchanaya,18064281073983014,https://www.instagram.com/p/DM8K2sExnY2/,Soy Chan ❤️😍
ed_ha_vzr,18071807546026474,https://www.instagram.com/p/DM8K2sExnY2/,
d_errick_hirem,18050107541231648,https://www.instagram.com/p/DM8K2sExnY2/,@god.harvy Harvey canul pech may
god.harvy,18046785302638154,https://www.instagram.com/p/DM8K2sExnY2/,@derrickhiremmorales no sale el mío 🫠
d_errick_hirem,18052181276622649,https://www.instagram.com/p/DM8K2sExnY2/,@god.harvy no bro invente uno aver si pega 🤑
god.harvy,18099316111589921,https://www.instagram.com/p/DM8K2sExnY2/,@derrickhiremmorales dale derrick may paz
hqlly_201,18144878131396434,https://www.instagram.com/p/DM8K2sExnY2/,"Y basto, cabrera"
angeehau,18364295386147991,https://www.instagram.com/p/DM8K2sExnY2/,Y el hau
sancastrom,18089441188666188,https://www.instagram.com/p/DM8K2sExnY2/,Chan lee 😂😂😂😂😂😂
jduranvilar,17886925992205557,https://www.instagram.com/p/DM8K2sExnY2/,@andreafreyrev Andrea Chan Dzib d’ Chan
eduardc_10,17928073362091280,https://www.instagram.com/p/DM8K2sExnY2/,Jaja yo conocía a alguien que se apedillaba Chan Dzul
nt_chan_chim,18090453883599306,https://www.instagram.com/p/DM8K2sExnY2/,Alguien se apellida poot?
albertjp96,18083225089870383,https://www.instagram.com/p/DM8K2sExnY2/,Mi segundo apellido es Pech jujuju
joser.lopez04,17975149115910703,https://www.instagram.com/p/DM8K2sExnY2/,Como que el primero no es Wolff?? @vickywolff
