username,comment_id,post_url,post_hashtags,comment_text
sodocarnage,17892993510358426,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,Interesante ahora que alguien me explique por qué a la naranja dulce le dicen china?
gomezchimx,18069303470062162,https://www.instagram.com/p/DQFTgeVkWF-/,@sodocarnage porque es naranja que llegó de China
taskkaotyco,18019253783786079,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"Se le olvida mencionar que la aplican como despectivo, los yucas odian a los foráneos, chip corto de los yucas😂"
yorchi82,18070705550209740,https://www.instagram.com/p/DQFTgeVkWF-/,@taskkaotyco a los foráneos mamones ☝🏽 hay diferencia
taskkaotyco,18100890526728060,https://www.instagram.com/p/DQFTgeVkWF-/,@yorchi82 😂
paolapg18,17987010257902625,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,También está la variante Yucahuach. 😂
nicoaschulz,18158466460380328,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,No era por huachinango ?
abogadomarban,18537147598029275,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,Con ese pronombre insultan a discreción.
prucercarrillo,18098034844775677,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,😂
luisluevanop,17953805733037292,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,Huache aqui
israel_abarca_reynoso,18082470095049918,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"En Tierra Caliente de los Edo. de Michoacán, Guerrero y el Edo.  Mex. es la manera de referirse a un niño"
colate1960,18390377182122622,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,Antes les decíamos sorches
felipecornejolima,18089285188895481,https://www.instagram.com/p/DQFTgeVkWF-/,N/A,"Y no mientan, como los soldados en esa época llevaban la consigna de romperles el movimiento jajaja de independización para los yucatecos waches eran los soldados osea eran no gratos y así se quedó por tradición decirle wacho o waches a las personas que llegan de otro lugar y no son gratas,  no nomás que son de afuera si no que aparte no son gratas, es despectivo, no se hagan pendejos tengan huevos para aceptarlo"
rolypacho,17886341418384981,https://www.instagram.com/p/DP_sWZIDDwk/,N/A,En algunas zonas de la Península se le conoce como Cinsimito
benjaminchale,17855294787550251,https://www.instagram.com/p/DP_sWZIDDwk/,N/A,Ten cuidado Gómez chi no baya a salir el famoso chupacabras ten cuidado Gómez chi
tumacho1243,17928913794109814,https://www.instagram.com/p/DP7D2ELCWh7/,N/A,Jajajajajaajaja  billete hasta mi tia se me descalzona y según es de las que va a la iglesia  cada domingo
fernandabuenfile,17862007080435769,https://www.instagram.com/p/DP7D2ELCWh7/,N/A,@rommel_pacheco  JUSTICIA!!!
navarrozarinana,17929039571999351,https://www.instagram.com/p/DP4ftweCFAD/,N/A,Pues lo verdaderamente ilegal es el pagar la entrada del INAH y además de cultur.
sheikh_ramsi,17912270892218892,https://www.instagram.com/p/DP1oS0OEndY/,N/A,H.D.P @sesin0
kurina1181,18049084643655163,https://www.instagram.com/p/DP1oS0OEndY/,N/A,😡😡😡😡😡
ileana_doniaway,18067760012461034,https://www.instagram.com/p/DPytGXNjGrm/,N/A,"Buena crónica, gracias"
tumacho1243,17916475062200741,https://www.instagram.com/p/DPwnBE1D_wX/,N/A,Hay que checar esas fotos para poder da mi opinión  de alfa
aridiazugalde,17876272017327006,https://www.instagram.com/p/DPwjup5DHwE/,N/A,Dónde está Sicilia ?
rolypacho,17928375882110948,https://www.instagram.com/p/DPwjup5DHwE/,N/A,Por el nombre puedo adivinar de que él no es Mexicano ?? Acaso no hay Mexicanos que puedan hacer esa función o tener ese cargo ?
marijo.scc,18359824096091566,https://www.instagram.com/p/DPuNNGRFfsO/,N/A,@huachodiazmena.oficial @ceciliapatronl
cris_mtz_25,17937148157961788,https://www.instagram.com/p/DPuNNGRFfsO/,N/A,"Lo muy preocupante de situaciones como ésta, personas que maltratan a animales, de cualquier forma o en cualquier nivel, es que son potencialmente maltratadores de cualquier ser viviente, incluso humanos, estamos ante casos de personas con un muy bajo nivel de conciencia o que no tienen conciencia, entonces pueden ser capaces de cualquier cosa, esto nos indica una persona peligrosa, por lo que las autoridades sí deben de tomar carta en el asunto e investigar y sancionar y castigar a quien hizo ésto"
fernandabuenfile,18074676893166349,https://www.instagram.com/p/DPuNNGRFfsO/,N/A,@ceciliapatronl
totoi_semerena,17897106816306096,https://www.instagram.com/p/DPo8dnQlWpE/,N/A,👁✨️ gran dato Profe
c.manzinguez,17915014818069396,https://www.instagram.com/p/DPo8dnQlWpE/,N/A,Increíble! 🙌🙌👏👏
antoniaaguiar07,18060606050625214,https://www.instagram.com/p/DPo8dnQlWpE/,N/A,Habían reportado que se robaron parte de ese aparato
carloscmanzano,17983392554860020,https://www.instagram.com/p/DPo8dnQlWpE/,N/A,"Yucatán es zona de baja sismicidad, es normal."
luisflo2457,18046193201385051,https://www.instagram.com/p/DPo8dnQlWpE/,N/A,Gracias sr. Chi execelentes datos. Felicidades
manny343b,17843159169593154,https://www.instagram.com/p/DPg0EJEE0ck/,N/A,"Auto de lujo? 😂😂😂😂 Lujo es Porsche, Maserati, Rolls-Royce, no la basura esa de Audi. Son una porquería."
maria_luisa_zaldivar,18087730222931362,https://www.instagram.com/p/DPeyMSgihWP/,N/A,De lo mejor !!!!🙌
ve_bzn,18082466038814163,https://www.instagram.com/p/DPeyMSgihWP/,N/A,"👏 ¡Manjar de Dioses! ¡Yucatán! 
❤️❤️❤️❤️"
margy_sobhdz,17961280331845349,https://www.instagram.com/p/DPeyMSgihWP/,N/A,Qué fecha ???
rolypacho,18081216416297724,https://www.instagram.com/p/DPeyMSgihWP/,N/A,Delicioso
williamdejesuscaamal,18534745384033528,https://www.instagram.com/p/DPeyMSgihWP/,N/A,Entonces no es pibil?
danielsanchez1916,17923274928152751,https://www.instagram.com/p/DPeyMSgihWP/,N/A,Cuál es la fecha?
granpitufo,18426410269099456,https://www.instagram.com/p/DPZXNTKjgaN/,N/A,Orale entacuchado
marucoello,18088430029852603,https://www.instagram.com/p/DPUgGBxkmIG/,N/A,Gracias! 🙏🏻
marucoello,18118504603512430,https://www.instagram.com/p/DPSULZyEgX3/,N/A,😲😲😲😲😲😲😲
alexcastillomart,17895670110300707,https://www.instagram.com/p/DPJ3ShzAWCp/,N/A,"En la 65 hay 3 esquinas seguidas con nombre de ave: la garza, la calandria y el tecolote. Ojalá nos pueda contar sobre ellas"
marizamonterrubio69,17910024357217636,https://www.instagram.com/p/DPJ3ShzAWCp/,N/A,Gracias por compartir yo estoy apre diendo mucho
mralcocer,18113629267530610,https://www.instagram.com/p/DPJ3ShzAWCp/,N/A,Dejaron chop al loro.
tumacho1243,18067511627210335,https://www.instagram.com/p/DPHri2JDBny/,N/A,"Esq uno como sancho se cuida ,que tal y después vea a un sanchito mms"
tumacho1243,18100977847617537,https://www.instagram.com/p/DPFv3jljtDL/,N/A,Cuantas quieren hablen con hombre no con calabazas
alpha_tuku,18070949606326724,https://www.instagram.com/p/DPByms0Dp5b/,N/A,Ese Miguel de la Madrid mandaba traer sus tacos Tuxpeños en avión cada Domingo.
rolypacho,18063898052090352,https://www.instagram.com/p/DPAHX8ND2zT/,N/A,Ladrón que le roba a Ladrón ??
manny343b,18109949722487073,https://www.instagram.com/p/DPAHX8ND2zT/,N/A,Le faltó robarse unos dos millones de pesos mas para un buen sistema de alarma
tumacho1243,17860276092435061,https://www.instagram.com/p/DPAHX8ND2zT/,N/A,Los prianistas
tumacho1243,17868524523445668,https://www.instagram.com/p/DO96nNYgcAJ/,N/A,A veces toca barbear un poco pelana
rolypacho,18063219956102312,https://www.instagram.com/p/DO4FeipEYwr/,N/A,Gracias
jo.mao,18068834405185039,https://www.instagram.com/p/DO4FeipEYwr/,N/A,"Difiero de tu comentario, no hablas de la explotación de los campesinos, ni del despojo de tierras, de las tiendas de raya, prácticamente los yucatecos eran esclavos de los hacendados, de tantas injusticias al pueblo de Yucatán a manos de un grupúsculo de hacendados. Dí las cosas como fueron, no tu sarta de mentiras, los beneficios fueron para la casta divina. Me decepcionas."
camaradepuerto,17870656398434030,https://www.instagram.com/p/DO4FeipEYwr/,"@jo.mao que trabajo no tiene pro y contras, los trabajadores tuvieron escuela, medicos q los atendieran, y cuando las esposas se iban a quejar con el capataz quien era El q manejaba todo el personal, porque su marido la habia golpeado lo castigaban y metian al calabozo por peticion de Ella, asi q sino vivieron ésa época mejor no opinen, habian casas de caridad, comedores para los de siruacion de calle se formo la casa de Chuminopolis para niñas huerfanas, etc"
jo.mao,18069749842963671,https://www.instagram.com/p/DO4FeipEYwr/,"@camaradepuerto jajajaja, me das risa, y el derecho de pernada?"
goose_26_19,17883714267380376,https://www.instagram.com/p/DOzSliyAvrj/,N/A,👏👏👏👏👏
fannyjimena,18079008940991995,https://www.instagram.com/p/DOrELUkDDs1/,N/A,Gracias por compartir sus conocimientos e investigaciones. Es una forma mas de promover nuestro estado Yucatán .
tatablancol,17858475252506298,https://www.instagram.com/p/DOrELUkDDs1/,N/A,Mil gracias por compartir
richocalderon,17942646783061176,https://www.instagram.com/p/DOrELUkDDs1/,N/A,@carloscalderon65
dcc2803_,18070862083906111,https://www.instagram.com/p/DOkGvHzDPbY/,N/A,😢
fabis.mtz,18055068293627770,https://www.instagram.com/p/DOd_exxk9cz/,N/A,👏👏👏👏👏👏
jo.mao,18410041909117763,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,"Sí, recuerdo que mi papá me mandaba a comprar una bandeja, xq había para llevar, y era un caos la cocina por tantos pedidos, con una bandeja de botanas comíamos más de 10 personas, una delicia"
