https://www.instagram.com/p/C7cqgAsJTWv/,hashtags:,#YucatánMásMejor
aylinbastarrachea,18025938527127178,JAJAJA tqm 🤣💙💙
santiago_sima,18050307058656872,Excelente crossover! Durísimos 👏🏻👏🏻
victoriassandoval,18032295904989424,"Amamossss el crossoverrrr, no puedo 😂😂😂😂"
charlyspinosa,17855494185146954,👎👎👎👎👎
adorantescyuc,18009490703402534,JAJAAJAJAJAJAJAJAJAJJAAJAJAJAJAJJAAJA 👏🏼👏🏼👏🏼
frikilara,18136957291331015,¿Alguien dijo cerveza de un litro? 🤩😻
frikilara,17865658584131212,No has visto los simppppppsom??
cristinapatron,18043512520681253,Amo jajajjajaab😂
sinuhealejandre,18021363368040736,AJAJAJA que grande
laurissamarrufo,18048363055733764,JAJAJAJAJAJAJA
chingonalex,18046312105690403,"Si no estuviéramos en el cierre de la campaña electoral hubiera sido más gracioso. Pero como no, pues se mal interpreta."
naomiantonieta,17935697630836075,Ta bueno el nance JAJAJAJAJJAAJAJJAJAJAA
castilloerick24,18034529422942890,"Iba a votar por RB, pero tiene mejores propuestas Juan"
danarguedasp,18025561493140996,Genio
adazz_k,18024698827976479,"se me cayó un ídolo u,u"
isabelune,18342865837114332,@adazz_k  muy cabrón
rubalaru,17870478354100378,Chaleeee....
diandiaz_,18009718526199948,JAJAJAJA
pablo_molina_realtor,17889378270028647,No has visto los Simpson? 🤣
_lauraraym,17862585966148578,Noooooo juaaaan 😢😢😢
marcomatoz,18020777630225037,Lo del domo se me ocurrio hace años. Cerramos Mérida con un domo y ponemos climas industriales 😂😂
marcomatoz,18023852408163984,Buenisimooo jajajaja!
mateonoh,18265472680173716,😂😂😂😂
carlosrossoneri,18029840366011301,Si @renanbarreraconcha aprobó lo de poner pasto sintético tremenda 🐀🐀🐀🐀🐀🐀 crea el problema y ahora busca resolverlo tremenda 💩💩💩💩💩💩💩💩
isabelune,17954260136667265,@carlosrossoneri exacto
asaf.ba,17977258679558170,jajaja
marmontesdeocah,17868442872106846,"Jajajajaja no puedooo, buenisimo!!!"
georgemunchon,18028878227039095,mira entonces sí sabe qué son áreas verdes 😮 pensé q no con los parques en Mérida y la remodelación de calles en el centro
georgemunchon,18053599474620141,nooo0ooo Juan :(
ashanti_kohli,18006435641271295,😂😂😂😂😂😂😂
chinovzkyeb,17889878432963315,Jajajajaja buenísimo!!!
gabmtz62,18059276422582812,El segundo periférico omg 😭😭😭
edujrpamplona,17884636161364115,@gabmtz62 omg
jc_sp90,18050153503599671,No quitaste tu zapato antes de meterte a la piscina rey @eljuanamaro
marielapalma,17995589867633414,@pamepamepr
marielapalma,18031840237990567,JAJA!!!!!!
alexisalmeidaseguros,18237539383266484,"Bebederos de cerveza, en un litro TU LO DEBES SABER MUY BIEN! y viene el recuerdo cuando agarraron a renan barrera por unas copitas de más jajajaja 😂😂😂😂"
cindymf,18010160777452105,Jajajajajajajjjajajjaj
reginaarandabargas,17848089225217058,Jajajajajajaja corta eso 😂
james.gil,17850179619183071,@monsemendozaps JAJAJAJA tqm por presentarme a mi 🐓
monsemspa,18047311516688173,"@james.gil de nada nene, pero me gustaba mas cuando de verdad era un partido independiente 🥺"
james.gil,17990589203498297,@monsemendozaps lo mismo pensé 😢
james.gil,18028339214314135,"@james.gil solo me iluciono, ya lo compraron 😢"
reginaarandabargas,18108539470382457,😂😂😂 no ha visto los simpsons 😂😂😂
________________apdm,18079229212479695,te amo jajajaja 🔝
elrazikid,18030128246061534,JAJAJJA nnms
rubensolorzano,18431006896018165,El crossover que no sabíamos que necesitábamos 🤘🏻 @eljuanamaro @renanbarreraconcha
robertoarjonae,17878889028017560,Jajajjajajjaa
gustavoramire8,18002604575548723,Le llegaron al precio a mi candidato😢
ansitox,18012547595169353,Con maya sombra regresó a yucatan
a.lux__,17856344940177962,mmmm ya no es chistoso con candidatos reales 😕
claugiann,18433287373037075,@aurelionito si que weba
becky_opalma,17860991502155304,"Me quedo con el domo y aire acondicionado, gracias"
ladyazurion,17923636604907510,Eres grande @eljuanamaro  siii jajajajja 😂😂😂😂
charlytosis,17952473912675803,"Pero si RENANCITO fue el que aprobó eso en los parques... JAJAJAJAJA... Ay no, que horror cuánta hipocresía de ese señor 😂"
paolajanetx,17985270842673004,@charlytosis justo eso venia a comentar JAJAJAJA
yos_lu_8998,18020923352238520,@paolajanetx para mi en todo el vídeo se ve que solo se fue a quemar solito de todas las pendejadas que ya hizo
defect0.perfecto,17906645729968619,@charlytosis del parque hundido y su piscina abandona no vas a estar hablando
charlytosis,18109253467377054,Hahahahahhahahahahahahahaha así es! 😂😂
stephsalazar73,18353116426106103,👏👏👏
pechvstheworld,18236656642271759,Lo logró
lalo_agilar,18020501600215924,Suertudote 🤑🤑🤑
isabelune,18006009962306951,Por cierto que tanto Mauricio Vila como Renán pusieron pastos sintéticos en los parques de mérida.  Cínico
isabelune,17920023809914579,"No,  esto no está chido  si no sale cómo queda evidenciado que es él quien se está llevando todos los árboles de la ciudad al carajo.  El parque Tho es injustificable.  Renán es un cínico."
elaniegl,18322477513121041,Pues todo lo que están haciendo no tiene árboles y los pocos que hay no los riegan jajajajaja a que hipócritas 😂😂😂😂😂
