hashtags:,#merida,#yucatan,#centrohistorico
post_url,username,comment_id,comment_text
fernandopuc_,18028100057560579,https://www.instagram.com/p/DFMLTVKsJaz/,"@javiercorrea75 Obvio, todo el tiempo"
javiercorrea75,17891310699174008,https://www.instagram.com/p/DFMLTVKsJaz/,@fernandopuc_ Orale que envidia ha de estar padre el clima dudo que si estuvieran como acá en el norte a -7 saldrían así a la calle 😂😂😂
gesuskajjun,18083747806574948,https://www.instagram.com/p/DFMLTVKsJaz/,@javiercorrea75 y chanclas de pata de gallo nene
mr_kite5_oficial,17975110082767212,https://www.instagram.com/p/DFMLTVKsJaz/,@javiercorrea75 siiii
fabis.mtz,18295243387209629,https://www.instagram.com/p/DFMLTVKsJaz/,😍
vykkmorales,18021919793382297,https://www.instagram.com/p/DFMLTVKsJaz/,Q son las marquesitas?
rodrigo.deltorosanchez,18064332076729056,https://www.instagram.com/p/DFMLTVKsJaz/,@vykkmorales El postre/antojito más increíble que ha dado Yucatam al mundo ninio
onersrhoner,18033701231614447,https://www.instagram.com/p/DFMLTVKsJaz/,🔥🔥🔥🔥🔥🔥
marmotost,18053561150119341,https://www.instagram.com/p/DFMLTVKsJaz/,Esas sillas son curiosas. Como buen huach no las he visto en ninguna otra parte del país
medic3noscuro,18074116366725155,https://www.instagram.com/p/DFMLTVKsJaz/,😍😍😍😍😍
cesar.garsan,18027575522550424,https://www.instagram.com/p/DFMLTVKsJaz/,😍😍😍
alan_pic_,18036999572413347,https://www.instagram.com/p/DFMLTVKsJaz/,Tan hermosa 😍😍😍😍
carlosgonzalezgonzalez709,18300141445227955,https://www.instagram.com/p/DFMLTVKsJaz/,Es cierto que Mérida es la ciudad más segura del país?
nora_itzel_,18048169550271929,https://www.instagram.com/p/DFMLTVKsJaz/,Vivan las marquesitas 🤤❤️
rocasamantha,18039469772108286,https://www.instagram.com/p/DFMLTVKsJaz/,Con chancla te va a sudar la pata 🤦🏽‍♀️
hug_limn,17950222574919764,https://www.instagram.com/p/DFMLTVKsJaz/,Está yucateca está chula.
isaacnieblaa_shack,18008946557686728,https://www.instagram.com/p/DFMLTVKsJaz/,Que estas comiendo
