https://www.instagram.com/p/DTdewKBkR9X/,hashtags:,#roscadereyes
santiago.mendozagutierrez.31,18170472685391361,Tampoco avía rosca de reyes y lo haces que incongruencia
mr_kite5_oficial,18062651027300958,en cdmx se hacen de los 2 de agua y de leche
mireya.bi18,17937968043135642,También en la tierra caliente de Michoacán se toma el chocolate con agua
jnin88,18079912994519016,"“El chocolate con leche es de españoles”.
Corte A) Celebra con la rosca de reyes.
B) Se muda a Seattle."
villegasramirez.daniel,18093722842746132,También deberían de recordar todas las muertes que trajo el catolicismo
mechaanictaco,18297797839277651,"Así es. La leche la trajeron los españoles. Junto con el trigo del que está hecha tu rosca y el cristianismo del que está hecha tu ""tradición""... Incongruencias"
luisol_wicho,18152352934437149,"Yo me pregunto🤔 ¿con que se hacía la rosca y sobre que creencia se partía una con chocolate en agua, antes de los españoles? 🤔🤔🤔"
mrsbluesky_5,18066200438447427,Yo prefiero mil veces el chocolate con agua a que con leche. Inclusive mejor con masita
angelefrainmay,18176131519327676,A mi también me salió muñeco!!! Y eso que ni partí rosca!!! Me la invitaron!!!😫
perrobichi,17962476407878429,Tampoco había Diosito. Por lo tanto no había rosca
ze_tekpatl,18100751752858069,Por es chocolatl
plasenciasol13,17872398171500452,La rosca tambien no?? Porque tampoco habia Jesus antes manaaaa. Con lechita ta mejor
ligiadeortz,18100289437857970,"Que ricooo!!! Así se come rosca, con chocolate con agua😋😋😋"
tio.jesse,18400243183122142,Creo q es más gringo en España también es con agua
lucysanti06,18169488436379232,Cómo debe de ser
minaurosa,17954797251058675,❤️
gabrielmendozamateos,17854986063606701,"Igual en Michoacan, y primero se desayuno lo dulce y después lo salado."
kerhim21,17925128028199263,
rickenbacker225,18084103636913328,Y la rosca de dónde viene??? 🤷🏽
gme.delarosa,17866474977542096,"Pues en la laguna no había ni chocolate ni, ni mayas ni la cuenca lechera más grande de México. Así que acá es con leche."
lilah_hz,18069313823425231,Es mi favorito 😍😍😍
karltterbell,17992522646914033,Y hay una manera especial de hacer el chocolate o que tipo de chocolatw?
cesar.garsan,18088132072855451,Sisoi
cesar.garsan,18070155014140832,😍😍😍
